"rank","name","key","vendor","installs","downloads","reviews","stars","last_modified","release_date","cloud_version_found","min_annual_price_usd","price_500_users_usd","price_2000_users_usd","tagline","marketplace_url","seller_status","paid_customers","revenue","asking_price","transfer_interest"
"196","Easy List Edit (for Jira)","net.koncis.listedit","Condoctor ApS","11","3868","0","0","2026-03-04T16:03:30.178Z","2026-03-04","false","90","500","1500","In-line editing of fields in Jira Search list, DashBoard list, Subtask and Epic lists - Excel style","https://marketplace.atlassian.com/apps/1220249/easy-list-edit-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"197","UnStoppable for Jira","com.addteq.jira.plugin.accessibility.addteq-jira-unstoppable","Addteq Inc","11","6886","0","0","2026-07-02T17:31:11.765Z","2026-05-26","false","300","2400","8400","Unstoppable enhances Jira accessibility and helps with 508, A11y, WCAG 2.1, BitV compliance. NVDA, JAWS, and Voiceover compatible","https://marketplace.atlassian.com/apps/1214187/unstoppable-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"198","LoginFree for Jira Service Management","de.accxia.apps.jira.loginfree.LoginFree4JSD","Accxia","10","5463","8","4.375","2026-01-14T10:09:15.815Z","2025-04-14","false","1250","3950","5250","LoginFree for Jira Service Management - Server. Get the ""login-free portal"" Experience as known from Jira Cloud","https://marketplace.atlassian.com/apps/1219927/loginfree-for-jira-service-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"199","Optimize","com.porzelt.jira.optimize.Optimize","Maximilian Porzelt","10","3907","3","5","2025-12-11T11:19:53.248Z","2024-06-24","false","40","400","1000","Optimize contains bunch of features for Jira to boost team productivity and efficiency","https://marketplace.atlassian.com/apps/1223194/optimize?tab=overview","unknown","unknown","unknown","unknown","unknown"
"200","Feedback and Voting for JSM","io.aety.favfjsd","aety aps","10","4054","3","5","2025-12-11T11:00:30.347Z","2025-09-19","false","2400","3700","5800","Feedback & Voting for Jira Service Management lets your customers vote and provide feedback through an intuitive portal interface","https://marketplace.atlassian.com/apps/1221630/feedback-and-voting-for-jsm?tab=overview","unknown","unknown","unknown","unknown","unknown"
"201","Custom Fields Administrator For Jira Project","com.methoda.plugins.administerFields","Methoda","10","4169","1","5","2026-06-24T16:42:16.554Z","2026-06-24","false","200","1000","3000","Grant permissions to Project Admins to manage their screens and custom fields. Update fields values, options and description","https://marketplace.atlassian.com/apps/1221078/custom-fields-administrator-for-jira-project?tab=overview","unknown","unknown","unknown","unknown","unknown"
"202","Teamworkx Connector for Jira","de.catworkx.jira.plugins.scheduled-operations-layer","catworkx GmbH","10","5002","0","0","2026-02-11T12:43:40.015Z","2025-10-16","false","1000","5000","7000","Enabler for a Jira-centered Enterprise Application Integration","https://marketplace.atlassian.com/apps/1222448/teamworkx-connector-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"203","STAGIL Database Synchronizer","de.stagil.jira.stagil-database-sync","STAGIL by catworkx","9","7098","5","5","2026-06-11T10:14:04.975Z","2026-06-11","false","450","2640","4000","Create and synchronize Jira issues and assets from SQL databases or CSV files","https://marketplace.atlassian.com/apps/1217370/stagil-database-synchronizer?tab=overview","unknown","unknown","unknown","unknown","unknown"
"204","User Groups Sync for Jira","com.ila.esolution.jira.adgroupsync.plugin.jira-ad-group-sync-plugin","ILA eSolution","9","4425","3","5","2026-01-12T06:51:38.007Z","2026-01-12","false","25","250","600","Synchronize LDAP, Azure, Okta and Google Directory security access groups and mail list users membership to Jira groups","https://marketplace.atlassian.com/apps/1219971/user-groups-sync-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"205","Issue Read Status","net.veniture.jira.read-indicator","DC Factory","9","4506","5","3","2025-12-11T11:29:03.283Z","2025-11-19","false","4100","12400","31700","Mark issues as read, easily find updated issues","https://marketplace.atlassian.com/apps/1219494/issue-read-status?tab=overview","unknown","unknown","unknown","unknown","unknown"
"206","InstaPrinta - Issue Print Templates for Jira","net.seibertmedia.jira.plugin.instaprinta","Seibert","8","7053","7","5","2026-01-16T19:12:31.571Z","2026-01-16","false","280","1050","1330","Lightning fast paper card printouts of your Jira issues from PDF","https://marketplace.atlassian.com/apps/1212340/instaprinta-issue-print-templates-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"207","Herzum Quick Linker","com.herzum.jira.plugins.herzum-quick-linker","Herzum","8","8298","4","5","2025-12-11T11:52:20.791Z","2025-05-20","false","850","2450","3050","Quick Linker makes issue relationship management easy. Create, link and sync issues quickly, even across multiple Jira instances","https://marketplace.atlassian.com/apps/1211491/herzum-quick-linker?tab=overview","unknown","unknown","unknown","unknown","unknown"
"208","jCMDB Asset Management","com.whitesoftware.jira.cmdb-extensions","White Software","8","4800","4","4.375","2026-02-09T21:12:29.331Z","2026-02-09","false","500","3000","6000","jCMDB Asset Management plug-in is beyond integration, it is born in Jira","https://marketplace.atlassian.com/apps/1216228/jcmdb-asset-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"209","AWS SSO ALB & Amazon Authentication for Jira User Sync","de.resolution.albauth.jira","resolution Reichert Network Solutions GmbH","8","5548","1","5","2026-07-02T17:45:56.597Z","2026-02-03","false","750","4500","6000","Authenticate, create, and update users in Confluence using HTTP headers sent by Amazon AWS Load Balancer for maximum security","https://marketplace.atlassian.com/apps/1224457/aws-sso-alb-amazon-authentication-for-jira-user-sync?tab=overview","unknown","unknown","unknown","unknown","unknown"
"210","Cycle Time Gadgets: Time in Status, Trend report for Jira","net.brokenbuild.dc.cycle-time","Broken Build","8","1169","0","0","2026-06-17T11:34:29.552Z","2026-06-17","false","200","1050","1800","Time in Status, Histogram, Trend, Control charts: cycle/lead/resolution time metrics. SLA/Scrum/Kanban analytics on Jira Dashboard","https://marketplace.atlassian.com/apps/1235431/cycle-time-gadgets-time-in-status-trend-report-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"211","Checklist Custom Field for Jira Data Center","com.fulstech.jira-checklist","Fulstech","8","3715","0","0","2026-02-13T12:30:39.046Z","2026-02-13","false","82","687","1320","An elegant way to keep track of work in Jira issues","https://marketplace.atlassian.com/apps/1224147/checklist-custom-field-for-jira-data-center?tab=overview","unknown","unknown","unknown","unknown","unknown"
"212","Identity Federation for AWS (Jira)","net.utoolity.atlassian.jira.identity-federation-for-aws-jira","Utoolity","8","6452","0","0","2026-05-09T17:50:20.870Z","2026-05-09","false","400","1900","4500","Single sign-on (SSO) to AWS resources – grant users and apps fine-grained Amazon Web Services access for your DevOps workflows","https://marketplace.atlassian.com/apps/1212483/identity-federation-for-aws-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"213","Delegated Administration for Jira","com.pitronote.jira.Delegated_Administration","Pitronote","7","3831","2","5","2026-03-30T14:36:11.865Z","2026-03-30","false","400","1500","2250","Delegate admin permissions to regular users, give users to add/remove users groups, control field values, create projects and user","https://marketplace.atlassian.com/apps/1222751/delegated-administration-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"214","HTTP Header Authentication for Jira","de.resolution.httpheaderauth.jira","resolution Reichert Network Solutions GmbH","7","4833","2","5","2026-07-02T17:46:01.851Z","2026-02-02","false","600","600","2400","Use Authentication HTTP headers in Jira","https://marketplace.atlassian.com/apps/1221625/http-header-authentication-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"215","Hiding sections and fields, read-only fields","kz.als.hiding_sections_and_fields","ALS Development","7","1290","1","5","2025-12-11T11:55:43.873Z","2025-10-15","false","40","300","1300","Hide important data with ease and flexibility","https://marketplace.atlassian.com/apps/1235044/hiding-sections-and-fields-read-only-fields?tab=overview","unknown","unknown","unknown","unknown","unknown"
"216","Custom User Profile Attributes for Jira","com.miniorange.userprofile.jira.userprofile-jira","miniOrange","7","2085","1","5","2025-12-11T11:46:05.982Z","2025-06-27","false","350","1250","2250","Enhance your Jira User Profiles by creating custom profile attributes & sync attribute automatically from LDAP active directory","https://marketplace.atlassian.com/apps/1228737/custom-user-profile-attributes-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"217","Burnup Burndown chart gadget (forecast on Jira DC Dashboard)","net.brokenbuild.dc.burn-chart","Broken Build","7","926","0","0","2026-06-05T12:27:29.045Z","2026-06-05","false","200","1050","1800","Epic/initiative/release/sprint progress reports & advanced forecast scenarios. Sprint burndown/burnup chart. On Jira Dashboard","https://marketplace.atlassian.com/apps/1236677/burnup-burndown-chart-gadget-forecast-on-jira-dc-dashboard?tab=overview","unknown","unknown","unknown","unknown","unknown"
"218","Assets History for Jira","asset-history","SaaSJet","7","1197","0","0","2026-05-13T14:33:59.097Z","2026-05-13","false","173","600","1650","Enhance Jira asset tracking with recording comprehensive objects history. Get one-stop access to audit who made changes and when","https://marketplace.atlassian.com/apps/1235061/assets-history-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"219","Terms and Conditions for Jira","com.glintech.jira.plugins.terms-and-conditions-for-jira","GLiNTECH - a Valiantys company","7","4317","0","0","2026-03-03T05:36:30.634Z","2026-03-03","false","750","2550","3850","Terms and Conditions or Acceptable Use Policy - For Jira","https://marketplace.atlassian.com/apps/1221131/terms-and-conditions-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"220","Automation with AWS (Jira)","net.utoolity.atlassian.jira.automation-with-aws-jira","Utoolity","7","5847","0","0","2026-05-09T18:43:22.012Z","2026-05-09","false","400","1900","4500","Remote actions and conditions with Amazon Web Services – automate your DevOps workflows from Jira Service Management and Jira","https://marketplace.atlassian.com/apps/1216067/automation-with-aws-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"221","OSLC Connector for Jira","de.mid.oslc-connector-for-jira","MID GmbH","6","4872","1","5","2026-05-22T09:47:32.111Z","2026-05-22","false","1000","10000","14000","Link Jira issues with artifacts of IBM Jazz or well-known modeling tools leveraging OSLC","https://marketplace.atlassian.com/apps/1222299/oslc-connector-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"222","MiniWiki - file & wiki explorer for Jira","eu.kyona.miniwiki","kyona group","6","4101","1","5","2025-12-11T11:38:52.628Z","2025-07-21","false","400","1800","3500","Organize your ""work in progress"" documents and find attachments in Jira","https://marketplace.atlassian.com/apps/1216965/miniwiki-file-wiki-explorer-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"223","Teamworkx Configuration Publisher","de.catworkx.jira.plugins.project-configuration-publisher","catworkx GmbH","6","4214","0","0","2026-03-02T10:36:36.670Z","2026-03-02","false","400","1600","2800","Export the entire project configuration of all your Jira projects or a single Jira project to Confluence or different export files","https://marketplace.atlassian.com/apps/1221516/teamworkx-configuration-publisher?tab=overview","unknown","unknown","unknown","unknown","unknown"
"224","Alfresco Connector for Jira","jp.ricksoft.plugins.alfresco-for-jira","Ricksoft, Inc.","5","5621","5","4.75","2026-05-12T09:09:29.396Z","2026-05-12","false","2000","6000","9000","Alfresco Connector for Jira","https://marketplace.atlassian.com/apps/1215364/alfresco-connector-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"225","Sync to Jira","com.shdsd.plugin.sync-to-jira","DragonSoft","5","2321","1","5","2025-12-11T11:07:46.257Z","2025-09-08","false","1200","3500","5500","Establish flexible unidirectional and bi-directional synchronization across multiple Jira instances","https://marketplace.atlassian.com/apps/1231805/sync-to-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"226","Advanced Issue History","com.sevidev.advanced.issue.history","Sevidev","5","2125","0","0","2026-06-02T08:27:37.651Z","2026-06-02","false","100","500","850","Get a clear view of issue changes in Jira with the 'Advanced Activity' tab, including date, author, and field details","https://marketplace.atlassian.com/apps/1230264/advanced-issue-history?tab=overview","unknown","unknown","unknown","unknown","unknown"
