"rank","name","key","vendor","installs","downloads","reviews","stars","last_modified","release_date","cloud_version_found","min_annual_price_usd","price_500_users_usd","price_2000_users_usd","tagline","marketplace_url","seller_status","paid_customers","revenue","asking_price","transfer_interest"
"141","mO SSO connector for Crowd and Jira","com.miniorange.jira.crowd.jira-crowd-sso","miniOrange","31","6978","1","5","2025-12-16T10:28:36.899Z","2025-12-15","false","300","1800","3500","Single Sign On (SSO) into Jira using your SAML 2.0 compliant IDP through Crowd","https://marketplace.atlassian.com/apps/1220053/mo-sso-connector-for-crowd-and-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"142","Agile Board Template Builder for Jira","com.wittified.jira.agile-board-template-builder","Appfire","31","5922","1","5","2026-04-01T10:16:40.598Z","2026-04-01","false","425","2400","4800","Create and configure Kanban and Scrum board templates that your team can use to create their own agile boards in Jira","https://marketplace.atlassian.com/apps/1216038/agile-board-template-builder-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"143","Custom Field Pack","com.addonrock.jira.custom-field-pack","Addonrock Sp. z o.o.","30","5503","3","5","2025-12-11T11:48:09.891Z","2025-10-03","false","300","2000","4500","Extend your JIRA with a large variety of custom fields, linked issue details, todo list, regexp validation, shields field","https://marketplace.atlassian.com/apps/1218356/custom-field-pack?tab=overview","unknown","unknown","unknown","unknown","unknown"
"144","TemplateMe! - Customized notifications","com.atsistemas.jira.addons.template-me","knowmad mood","30","6532","9","3.8888888","2025-12-11T11:54:41.562Z","2025-12-10","false","800","3000","4000","Easily personalize Jira's notification email templates","https://marketplace.atlassian.com/apps/1215727/templateme-customized-notifications?tab=overview","unknown","unknown","unknown","unknown","unknown"
"145","OrgWise-Organization and Report for Jira","com.shdsd.plugin.organizationPro","DragonSoft","29","6291","10","5","2026-05-23T13:52:55.557Z","2026-05-23","false","500","2500","7500","Allow the creation of organization tree in Jira to extend the capability of Jira user management and reporting","https://marketplace.atlassian.com/apps/1217979/orgwise-organization-and-report-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"146","Attachments Manager for Jira","com.infosysta.jira.JAM","Infosysta Apps","29","9060","15","4.1666665","2025-12-11T10:59:38.914Z","2025-09-29","false","225","600","1050","Effortlessly manage, label, export, and filter attachments in Jira, your ultimate attachment management solution","https://marketplace.atlassian.com/apps/1214890/attachments-manager-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"147","My UI Toolkit - JS, CSS and UX Extensions for Jira","addonix.jira.plugins.ui-toolkit","Addonix","29","1646","3","5","2026-03-12T17:27:59.065Z","2026-03-12","false","500","2000","2750","Smart JavaScript and CSS Includer - enhance and personalize your Jira experience. User Picker Avatar, Select2 Fields","https://marketplace.atlassian.com/apps/1237446/my-ui-toolkit-js-css-and-ux-extensions-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"148","Insight Assets Cloud Migration Assistant","ge.twinit.llc.twinitmigration","Twinit","29","2746","0","0","2026-07-02T17:47:48.066Z","2026-04-22","false","1230","12300","44280","The only app that migrates JSM Assets schemas completely — fields, relationships, and all","https://marketplace.atlassian.com/apps/1231241/insight-assets-cloud-migration-assistant?tab=overview","unknown","unknown","unknown","unknown","unknown"
"149","LaTeX Math for Jira Data Center","com.fulstech.jira-latex","Fulstech","29","4001","0","0","2026-01-28T05:21:27.938Z","2026-01-28","false","300","1500","3000","LaTeX for Math in Jira. Supports Summary, Description, Comments, plain-text fields. Install easily, LaTeX engine NOT required","https://marketplace.atlassian.com/apps/1215859/latex-math-for-jira-data-center?tab=overview","unknown","unknown","unknown","unknown","unknown"
"150","SCM Changesets Activity for Jira","com.tse.jira.scmactivitylite.plugin.jira-scm-activity-lite-plugin","ILA eSolution","28","5049","4","5","2026-01-12T06:45:33.332Z","2026-01-12","false","50","300","1350","One plugin for Jira integration with all the SCM systems like GitHub, GitLab, Perforce, Subversion, Bitbucket","https://marketplace.atlassian.com/apps/1219973/scm-changesets-activity-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
